,user_name,statuses_count,followers_count,favourites_count,listed_count,location,profile_image_url,profile_text_color,profile_image_url_https,profile_background_image_url_https,profile_background_image_url,utc_offset,label
1,Shawn,9,19,0,0,"Coconut Creek, Florida",http://pbs.twimg.com/profile_images/707198051102953472/En003uXT_normal.jpg,333333,https://pbs.twimg.com/profile_images/707198051102953472/En003uXT_normal.jpg,https://abs.twimg.com/images/themes/theme8/bg.gif,http://abs.twimg.com/images/themes/theme8/bg.gif,-25200,fake_users
2,Jeffrey A.,24,28,0,0,Southwest Missouri,http://pbs.twimg.com/profile_images/705294463065841664/J_r9FjJ9_normal.jpg,333333,https://pbs.twimg.com/profile_images/705294463065841664/J_r9FjJ9_normal.jpg,https://abs.twimg.com/images/themes/theme17/bg.gif,http://abs.twimg.com/images/themes/theme17/bg.gif,-25200,fake_users
3,Toxic,2624,36,2406,16,Wyoming,http://pbs.twimg.com/profile_images/714166043363700736/rTdiw-T5_normal.jpg,3E4415,https://pbs.twimg.com/profile_images/714166043363700736/rTdiw-T5_normal.jpg,https://abs.twimg.com/images/themes/theme5/bg.gif,http://abs.twimg.com/images/themes/theme5/bg.gif,-25200,fake_users
5,Michael,726,23,712,0,"Brunswick, Maine",http://pbs.twimg.com/profile_images/707645906246438912/txeg3jw__normal.jpg,333333,https://pbs.twimg.com/profile_images/707645906246438912/txeg3jw__normal.jpg,https://abs.twimg.com/images/themes/theme19/bg.gif,http://abs.twimg.com/images/themes/theme19/bg.gif,-25200,fake_users
6,Justin,573,21,524,4,Massachusetts,http://pbs.twimg.com/profile_images/706629405007810560/0e5-3KBZ_normal.jpg,663B12,https://pbs.twimg.com/profile_images/706629405007810560/0e5-3KBZ_normal.jpg,https://abs.twimg.com/images/themes/theme2/bg.gif,http://abs.twimg.com/images/themes/theme2/bg.gif,-25200,fake_users
7,Anchalen,1418,24,1258,32,Delaware,http://pbs.twimg.com/profile_images/712960317542629376/TQjIehr-_normal.jpg,333333,https://pbs.twimg.com/profile_images/712960317542629376/TQjIehr-_normal.jpg,https://abs.twimg.com/images/themes/theme16/bg.gif,http://abs.twimg.com/images/themes/theme16/bg.gif,-25200,fake_users
8,Karina,340,14,237,10,"Napa, California, USA",http://pbs.twimg.com/profile_images/713512098094063616/jSv8GheQ_normal.jpg,333333,https://pbs.twimg.com/profile_images/713512098094063616/jSv8GheQ_normal.jpg,https://abs.twimg.com/images/themes/theme17/bg.gif,http://abs.twimg.com/images/themes/theme17/bg.gif,-25200,fake_users
9,Look 2,811,15,723,7,"Manhattan, New York",http://pbs.twimg.com/profile_images/714188015351029760/2jHozzy2_normal.jpg,0C3E53,https://pbs.twimg.com/profile_images/714188015351029760/2jHozzy2_normal.jpg,https://abs.twimg.com/images/themes/theme12/bg.gif,http://abs.twimg.com/images/themes/theme12/bg.gif,-25200,fake_users
10,Nathan,305,15,244,9,New Mexico,http://pbs.twimg.com/profile_images/712119692966666241/j7nxazpH_normal.jpg,333333,https://pbs.twimg.com/profile_images/712119692966666241/j7nxazpH_normal.jpg,https://abs.twimg.com/images/themes/theme16/bg.gif,http://abs.twimg.com/images/themes/theme16/bg.gif,-25200,fake_users
12,GGC,614,17,555,14,"Portland, Oregon",http://pbs.twimg.com/profile_images/683024966426738688/CSeE5GxI_normal.jpg,0C3E53,https://pbs.twimg.com/profile_images/683024966426738688/CSeE5GxI_normal.jpg,https://abs.twimg.com/images/themes/theme12/bg.gif,http://abs.twimg.com/images/themes/theme12/bg.gif,-25200,fake_users
14,Markeisha,13,22,0,0,"Los Angeles, California",http://pbs.twimg.com/profile_images/708148502216511489/HkyoXIO0_normal.jpg,333333,https://pbs.twimg.com/profile_images/708148502216511489/HkyoXIO0_normal.jpg,https://abs.twimg.com/images/themes/theme13/bg.gif,http://abs.twimg.com/images/themes/theme13/bg.gif,-25200,fake_users
16,Magnolia,267,16,205,3,Georgia,http://pbs.twimg.com/profile_images/697279593376563200/26oy2Aqn_normal.jpg,3E4415,https://pbs.twimg.com/profile_images/697279593376563200/26oy2Aqn_normal.jpg,https://abs.twimg.com/images/themes/theme5/bg.gif,http://abs.twimg.com/images/themes/theme5/bg.gif,-25200,fake_users
