,user_name,screen_name,statuses_count,followers_count,friends_count,favourites_count,listed_count,location,default_profile,profile_image_url,profile_background_image_url_https,profile_background_image_url,utc_offset,description,label
1,Shawn,8VD6Y,9,19,380,0,0,"Coconut Creek, Florida",FALSE,http://pbs.twimg.com/profile_images/707198051102953472/En003uXT_normal.jpg,https://abs.twimg.com/images/themes/theme8/bg.gif,http://abs.twimg.com/images/themes/theme8/bg.gif,-25200,"Guitarist,  Vengeance  You!!!",fake_users
2,Jeffrey A.,jefygfr,24,28,723,0,0,Southwest Missouri,FALSE,http://pbs.twimg.com/profile_images/705294463065841664/J_r9FjJ9_normal.jpg,https://abs.twimg.com/images/themes/theme17/bg.gif,http://abs.twimg.com/images/themes/theme17/bg.gif,-25200,"President,  American Birding Association. 
Avid natural history fan, part-time pop culture maven, photographer, musician, and",fake_users
3,Toxic,Toxicghts1o9,2624,36,640,2406,16,Wyoming,FALSE,http://pbs.twimg.com/profile_images/714166043363700736/rTdiw-T5_normal.jpg,https://abs.twimg.com/images/themes/theme5/bg.gif,http://abs.twimg.com/images/themes/theme5/bg.gif,-25200,"19, Gamer, Drummer -  Just do what  the  makes you happy.",fake_users
5,Michael,michaelreesertg,726,23,538,712,0,"Brunswick, Maine",FALSE,http://pbs.twimg.com/profile_images/707645906246438912/txeg3jw__normal.jpg,https://abs.twimg.com/images/themes/theme19/bg.gif,http://abs.twimg.com/images/themes/theme19/bg.gif,-25200,Nominated guitarist   the year LA Music awards/recording artist.,fake_users
6,Justin,bitobsonto,573,21,594,524,4,Massachusetts,FALSE,http://pbs.twimg.com/profile_images/706629405007810560/0e5-3KBZ_normal.jpg,https://abs.twimg.com/images/themes/theme2/bg.gif,http://abs.twimg.com/images/themes/theme2/bg.gif,-25200,"iZotopean. EDM Producer/DJ. follow  me and like my other pages!
Soundcloud: https://t.co/n0qmSAWBFyÂ 
Facebook: https://t.co/EBlr5l8pvd",fake_users
7,Anchalen,AnchalenicusM,1418,24,662,1258,32,Delaware,FALSE,http://pbs.twimg.com/profile_images/712960317542629376/TQjIehr-_normal.jpg,https://abs.twimg.com/images/themes/theme16/bg.gif,http://abs.twimg.com/images/themes/theme16/bg.gif,-25200,Anchalen International Records is  a premier Dance/Jazz and Electronic Music Indie Record label. (A unit  Anchalen Music Industries U.S.A.),fake_users
8,Karina,December103_102,340,14,633,237,10,"Napa, California, USA",FALSE,http://pbs.twimg.com/profile_images/713512098094063616/jSv8GheQ_normal.jpg,https://abs.twimg.com/images/themes/theme17/bg.gif,http://abs.twimg.com/images/themes/theme17/bg.gif,-25200,Just  Your Average 18 yr  Searchin' For Something To Call Mine. 719 Is H O M E  || Roll || Rave || EDM || REPEAT ||,fake_users
9,Look 2,Look2Murderres,811,15,676,723,7,"Manhattan, New York",FALSE,http://pbs.twimg.com/profile_images/714188015351029760/2jHozzy2_normal.jpg,https://abs.twimg.com/images/themes/theme12/bg.gif,http://abs.twimg.com/images/themes/theme12/bg.gif,-25200,Djs / Producers / Remixes  #EDM #MashUp #Soundcloud https://t.co/U26Cv7t8g8Â â¦,fake_users
10,Nathan,SuckMahkuFc,305,15,606,244,9,New Mexico,FALSE,http://pbs.twimg.com/profile_images/712119692966666241/j7nxazpH_normal.jpg,https://abs.twimg.com/images/themes/theme16/bg.gif,http://abs.twimg.com/images/themes/theme16/bg.gif,-25200,Vocals in @therisingtidenc  | Gamer  slowly becoming a musician |,fake_users
12,GGC,ggce_ct,614,17,706,555,14,"Portland, Oregon",FALSE,http://pbs.twimg.com/profile_images/683024966426738688/CSeE5GxI_normal.jpg,https://abs.twimg.com/images/themes/theme12/bg.gif,http://abs.twimg.com/images/themes/theme12/bg.gif,-25200,mission of the CTE is to provide programming that promotes the design and implementation  of creative learning environments.,fake_users
14,Markeisha,MarkehiEas,13,22,320,0,0,"Los Angeles, California",FALSE,http://pbs.twimg.com/profile_images/708148502216511489/HkyoXIO0_normal.jpg,https://abs.twimg.com/images/themes/theme13/bg.gif,http://abs.twimg.com/images/themes/theme13/bg.gif,-25200,"Soul singer/songwriter, pianist,  web  https://t.co/vnoRC7bV0K",fake_users
